Date,Equity,Cash,Positions
2019-03-25,987201.76,506508.91,5
2019-03-26,995573.45,506508.91,5
2019-03-27,1006435.04,406613.63,6
2019-03-28,1012790.02,406613.63,6
2019-03-29,1012790.02,406613.63,6
2019-04-01,1006148.27,406613.63,6
2019-04-02,997315.15,206851.82,8
2019-04-03,994847.49,206851.82,8
2019-04-04,995172.38,206851.82,8
2019-04-05,999088.92,206851.82,8
2019-04-08,987477.66,206851.82,8
2019-04-09,990895.92,206851.82,8
2019-04-10,987578.05,206851.82,8
2019-04-11,985817.46,206851.82,8
2019-04-12,994126.09,206851.82,8
2019-04-15,997055.62,206851.82,8
2019-04-16,1003064.41,206851.82,8
2019-04-17,1003064.41,206851.82,8
2019-04-18,993663.88,206851.82,8
2019-04-22,986691.95,206851.82,8
2019-04-23,991492.55,206851.82,8
2019-04-24,995046.35,206851.82,8
2019-04-25,993794.78,206851.82,8
2019-04-26,991987.29,206851.82,8
2019-04-29,991987.29,206851.82,8
2019-04-30,992632.64,206851.82,8
2019-05-01,992632.64,206851.82,8
2019-05-02,990854.42,206851.82,8
2019-05-03,987064.21,206851.82,8
2019-05-06,970224.12,206851.82,8
2019-05-07,962995.24,206851.82,8
2019-05-08,960185.89,290090.48,7
2019-05-09,959416.43,300950.14,6
2019-05-10,958002.48,300950.14,6
2019-05-13,956140.22,200962.34,7
2019-05-14,955142.55,200962.34,7
2019-05-15,959518.05,330387.85,6
2019-05-16,963479.74,330387.85,6
2019-05-17,978915.29,330387.85,6
2019-05-20,987609.75,330387.85,6
2019-05-21,991451.19,330387.85,6
2019-05-22,1000773.3,330387.85,6
2019-05-23,996366.0,330387.85,6
2019-05-24,999571.17,330387.85,6
2019-05-27,1004409.36,231489.51,7
2019-05-28,1003879.59,231489.51,7
2019-05-29,998332.84,131691.14,8
2019-05-30,994600.74,31695.29,9
2019-05-31,996720.31,854.14,10
2019-06-03,1007294.19,854.14,10
2019-06-04,1004281.51,854.14,10
2019-06-05,1004281.51,854.14,10
2019-06-06,992636.31,854.14,10
2019-06-07,987704.86,854.14,10
2019-06-10,993614.25,854.14,10
2019-06-11,1000551.72,854.14,10
2019-06-12,997175.31,854.14,10
2019-06-13,993079.43,854.14,10
2019-06-14,993016.4,854.14,10
2019-06-17,989491.65,854.14,10
2019-06-18,983652.53,854.14,10
2019-06-19,988046.38,854.14,10
2019-06-20,991362.19,854.14,10
2019-06-21,986004.23,854.14,10
2019-06-24,987884.18,295.51,10
2019-06-25,987149.69,295.51,10
2019-06-26,991897.37,295.51,10
2019-06-27,997547.65,295.51,10
2019-06-28,993264.48,295.51,10
2019-07-01,998758.83,295.51,10
2019-07-02,1000304.78,295.51,10
2019-07-03,998931.47,295.51,10
2019-07-04,993861.48,295.51,10
2019-07-05,985226.12,295.51,10
2019-07-08,969275.22,295.51,10
2019-07-09,975310.72,27580.43,9
2019-07-10,969411.08,27580.43,9
2019-07-11,969264.38,27580.43,9
2019-07-12,971909.88,27580.43,9
2019-07-15,964570.4,27580.43,9
2019-07-16,973810.31,27580.43,9
2019-07-17,979593.81,27580.43,9
2019-07-18,975385.19,27580.43,9
2019-07-19,955308.73,27580.43,9
2019-07-22,941634.61,27580.43,9
2019-07-23,947035.06,111977.07,8
2019-07-24,947782.24,111977.07,8
2019-07-25,951413.98,111977.07,8
2019-07-26,950910.69,200940.96,7
2019-07-29,949323.81,200940.96,7
2019-07-30,942723.29,200940.96,7
2019-07-31,946120.6,200940.96,7
2019-08-01,946492.75,200940.96,7
2019-08-02,953406.94,288753.93,6
2019-08-05,957807.69,288753.93,6
2019-08-06,967894.39,288753.93,6
2019-08-07,963391.51,288753.93,6
2019-08-08,969720.33,288753.93,6
2019-08-09,977148.7,288753.93,6
2019-08-12,977148.7,288753.93,6
2019-08-13,974396.28,288753.93,6
2019-08-14,976744.26,288753.93,6
2019-08-15,976744.26,288753.93,6
2019-08-16,992848.53,288753.93,6
2019-08-19,996270.28,288753.93,6
2019-08-20,997735.75,288753.93,6
2019-08-21,996590.52,288753.93,6
2019-08-22,982669.66,288753.93,6
2019-08-23,980406.64,288753.93,6
2019-08-26,987835.41,288753.93,6
2019-08-27,988711.84,288753.93,6
2019-08-28,989477.32,288753.93,6
2019-08-29,988536.12,288753.93,6
2019-08-30,999633.92,288753.93,6
2019-09-03,989070.05,288753.93,6
2019-09-04,997474.91,288753.93,6
2019-09-05,995287.32,288753.93,6
2019-09-06,1000848.48,288753.93,6
2019-09-09,1006480.6,288753.93,6
2019-09-10,1006480.6,288753.93,6
2019-09-11,1009976.66,288753.93,6
2019-09-12,1006171.44,288753.93,6
2019-09-13,1016980.75,288753.93,6
2019-09-16,1009699.05,288753.93,6
2019-09-17,1000600.68,288753.93,6
2019-09-18,1000141.69,288753.93,6
2019-09-19,993920.03,288753.93,6
